ID,LineID,TeamID,ShiftID,Date,ProductionFBE,ReworkFBE,ScrapFBE
312726,3,3,NULL,18/6/2018,,,
312757,1,2,NULL,18/6/2018,,,
312788,2,1,NULL,18/6/2018,,,
312727,1,3,NULL,18/6/2018,,0.5,
312731,1,3,NULL,18/6/2018,,0.5,
312736,1,1,NULL,18/6/2018,,,
312758,3,3,NULL,18/6/2018,,,
312762,3,1,NULL,18/6/2018,,,
312767,2,3,NULL,18/6/2018,,0.5,
312789,1,3,NULL,18/6/2018,,0.5,
312793,1,1,NULL,18/6/2018,,,
312798,1,1,NULL,18/6/2018,,,
312804,2,3,NULL,18/6/2018,,0.5,
312817,1,3,NULL,18/6/2018,,0.5,
312818,3,3,NULL,18/6/2018,,,
312819,1,3,NULL,18/6/2018,,0.5,
312820,3,3,NULL,18/6/2018,,,
312821,1,1,NULL,18/6/2018,,,
312822,2,1,NULL,18/6/2018,,,
312823,3,1,NULL,18/6/2018,,,
312824,3,1,NULL,18/6/2018,,,
312825,3,2,NULL,18/6/2018,89,0.5,0.5
312826,2,3,NULL,18/6/2018,,0.5,
312827,1,1,NULL,18/6/2018,,,
312828,2,3,NULL,18/6/2018,,0.5,
312829,1,2,NULL,18/6/2018,178.45,,0.5
312830,1,1,NULL,18/6/2018,,,
312831,2,1,NULL,18/6/2018,,,
312832,1,3,NULL,18/6/2018,,0.5,
312833,1,1,NULL,18/6/2018,,,
312834,3,1,NULL,18/6/2018,,,
312835,1,1,NULL,18/6/2018,,,
312836,2,1,NULL,18/6/2018,,,
312837,1,1,NULL,18/6/2018,,,
312838,1,3,NULL,18/6/2018,,0.5,
312839,1,2,NULL,18/6/2018,0,,0.5
312840,3,3,NULL,18/6/2018,,,
312841,2,3,NULL,18/6/2018,,0.5,
312842,3,1,NULL,18/6/2018,,,
312843,3,2,NULL,18/6/2018,170.5,0.5,0.5
312844,2,1,NULL,18/6/2018,,,
312845,3,2,NULL,18/6/2018,0,0.5,0.5
312846,2,1,NULL,18/6/2018,,,
312847,3,2,NULL,18/6/2018,226.06,0.5,0.5
312848,1,1,NULL,18/6/2018,,,
312849,3,2,NULL,18/6/2018,196,0.5,0.5
312850,3,2,NULL,18/6/2018,0,0.5,0.5
312851,1,3,NULL,18/6/2018,,0.5,
312852,1,2,NULL,18/6/2018,0,,0.5
312853,3,1,NULL,18/6/2018,,,
312854,1,1,NULL,18/6/2018,,,
312855,2,1,NULL,18/6/2018,,,
312856,1,2,NULL,18/6/2018,0,,0.5
312857,1,2,NULL,18/6/2018,0,,0.5
312858,1,1,NULL,18/6/2018,,,
312859,3,2,NULL,18/6/2018,284.86,0.5,0.5
312861,3,3,NULL,18/6/2018,,,
312863,1,1,NULL,18/6/2018,,,
312864,3,1,NULL,18/6/2018,,,
312865,3,1,NULL,18/6/2018,,,
312866,3,1,NULL,18/6/2018,,,
