EST,Temperature,DewPoint,Humidity,Sea Level PressureIn,Visibility Mile,WindSpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegree
1/1/2016,38,55,38,38,13,8,0,5,,281
1/2/2016,36,25,36,36,6,7,0,5,,281
1/3/2016,40,25,40,40,0,8,0,5,,281
1/4/2016,25,25,25,25,6,9,0,5,,281
1/5/2016,20,25,20,20,0,5,0,5,,281
1/6/2016,33,25,33,33,6,4,0,5,,281
1/7/2016,39,25,39,39,0,2,0,5,,281
1/8/2016,39,24,39,39,6,4,0,5,,281
1/9/2016,44,24,44,44,0,8,T,5,Rain,281
1/10/2016,50,24,50,50,6,,0,5,Rain,281
1/11/2016,33,24,33,33,0,,0,5,,281
1/12/2016,35,70,35,35,0,6,0,5,,281
1/13/2016,26,70,26,26,0,10,0,5,,281
1/14/2016,30,27,30,30,6,5,T,5,,281
1/15/2016,43,27,43,43,6,5,0,5,,281
1/16/2016,47,70,47,47,0,7,0,5,Rain,281
1/17/2016,36,90,36,36,2,6,0,5,Fog-Snow,281
1/18/2016,25,90,25,25,2,12,0,5,Snow,281
1/19/2016,22,90,22,22,2,11,T,5,,281
1/20/2016,32,90,32,32,2,6,0,5,,281
1/21/2016,31,90,31,31,2,6,0,5,,281
1/22/2016,26,90,26,26,2,,0,5,Snow,281
1/23/2016,26,90,26,26,2,16,0,5,Fog-Snow,281
1/24/2016,28,70,28,28,0,6,0,5,Snow,281
1/25/2016,34,70,34,34,0,3,0,5,,281
1/26/2016,43,72,43,43,12,7,0,5,,281
1/27/2016,41,72,41,41,6,7,0,5,Rain,281
1/28/2016,37,70,37,37,0,5,0,5,,281
1/29/2016,36,70,36,36,0,8,0,5,,281
1/30/2016,34,70,34,34,0,7,0,5,,281
1/31/2016,46,70,46,46,0,5,0,5,,281
